Name,Latitude,Longitude
Third at Binney,42.36544486,-71.08277142
Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963
Tremont St at E Berkeley St,42.345392,-71.069616
Tremont St at Hamilton Pl,42.35668335,-71.06166646
Tremont St at Northampton St,42.3384318,-71.0816905
Tremont St at W. Dedham St,42.34254914,-71.07421449
Tremont St at West St,42.354979,-71.063348
Troy Boston,42.343749,-71.062256
Tufts Sq - Main St at Medford St,42.401697,-71.106128
Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313
Union Square - Somerville,42.3796479,-71.09540476
Union Square East,42.380078,-71.090098
Union St at Herrick Rd ? Newton Centre Green Line,42.32956868,-71.19367272
University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586
University Park,42.36264779,-71.10006094
Uphams Corner,42.31727474,-71.06537004
Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148
Valenti Way at Haverhill St,42.36473899,-71.05934903
Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671
Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356
W Broadway at D St,42.3391085,-71.0514432
W Broadway at Dorchester St,42.33595898,-71.046229
Walnut Ave at School St,42.31242399,-71.09616905
Walnut Ave at Warren St,42.324081,-71.083235
Warren St at Chelsea St,42.371848,-71.060292
Wasgott Playground,42.40933007,-71.06381878
Washington Sq,42.33985827,-71.13421171
Washington St at Bowdoin St,42.29916498,-71.07345872
Washington St at Brock St,42.34895285,-71.16031677
Washington St at Crafts St,42.35389024,-71.19943707
Washington St at Denton Terr,42.28072815,-71.13423757
Washington St at Egremont Rd,42.34286835,-71.14127841
Washington St at Fuller St,42.28198628,-71.07147925
Washington St at Lenox St,42.33509899,-71.07903779
Washington St at Melnea Cass Blvd,42.332817,-71.081198
Washington St at Myrtle St,42.3817508,-71.0839523
Washington St at Peters Park,42.34303291,-71.0668873
Washington St at Rutland St,42.3385146,-71.07404083
Washington St at Talbot Ave,42.290333,-71.071806
Washington St at Walnut St,42.35145812,-71.20764971
Washington St at Walsh Playground,42.2771947,-71.06955614
Washington St at Waltham St,42.34157472,-71.0689044
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256
Watertown Sq,42.36526032,-71.18573324
Watertown St at Albemarle Rd,42.35410408,-71.21382214
Watertown Town Hall,42.367621,-71.187936
Wellington MBTA,42.4023682,-71.07573182
Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098
West End Park,42.36590788,-71.06446669
West Newton,42.3496005,-71.22627497
Western Ave at Richardson St,42.36178741,-71.14393111
Whittier St Health Center,42.33286288,-71.09218862
Williams St at Washington St,42.306539,-71.107669
Wilson Square,42.38567579,-71.11412136
